Source,Image A,Image B,dHash Distance
China_Drone,China_Drone_002264.jpg,China_Drone_002265.jpg,8
China_MotorBike,China_MotorBike_001526.jpg,China_MotorBike_001527.jpg,4
India,India_003087.jpg,India_003088.jpg,8
India,India_003904.jpg,India_003907.jpg,8
India,India_003987.jpg,India_003989.jpg,6
India,India_004652.jpg,India_004653.jpg,2
India,India_004825.jpg,India_004826.jpg,8
India,India_005039.jpg,India_005040.jpg,6
India,India_005796.jpg,India_005797.jpg,7
India,India_005833.jpg,India_005834.jpg,5
Norway,Norway_000591.jpg,Norway_000592.jpg,7
Norway,Norway_000919.jpg,Norway_000920.jpg,6
Norway,Norway_001463.jpg,Norway_001464.jpg,8
Norway,Norway_002091.jpg,Norway_002092.jpg,8
Norway,Norway_004671.jpg,Norway_004672.jpg,8
Norway,Norway_006779.jpg,Norway_006780.jpg,8
Norway,Norway_007182.jpg,Norway_007183.jpg,8
