Issue Type,Source,File,Details
Invalid bounding box,Japan,Japan_001265.xml,"D20: 198,474,198,475 / image=600x600"
Unknown class,China_Drone,China_Drone_000023.xml,Repair
Unknown class,China_Drone,China_Drone_000023.xml,Repair
Unknown class,China_Drone,China_Drone_000025.xml,Repair
Unknown class,China_Drone,China_Drone_000028.xml,Repair
Unknown class,China_Drone,China_Drone_000029.xml,Repair
Unknown class,China_Drone,China_Drone_000037.xml,Repair
Unknown class,China_Drone,China_Drone_000041.xml,Repair
Unknown class,China_Drone,China_Drone_000041.xml,Repair
Unknown class,China_Drone,China_Drone_000042.xml,Repair
Unknown class,China_Drone,China_Drone_000042.xml,Repair
Unknown class,China_Drone,China_Drone_000044.xml,Repair
Unknown class,China_Drone,China_Drone_000045.xml,Repair
Unknown class,China_Drone,China_Drone_000045.xml,Repair
Unknown class,China_Drone,China_Drone_000049.xml,Repair
Unknown class,China_Drone,China_Drone_000056.xml,Repair
Unknown class,China_Drone,China_Drone_000064.xml,Repair
Unknown class,China_Drone,China_Drone_000065.xml,Repair
Unknown class,China_Drone,China_Drone_000067.xml,Repair
Unknown class,China_Drone,China_Drone_000067.xml,Repair
Unknown class,China_Drone,China_Drone_000069.xml,Repair
Unknown class,China_Drone,China_Drone_000071.xml,Repair
Unknown class,China_Drone,China_Drone_000071.xml,Repair
Unknown class,China_Drone,China_Drone_000073.xml,Repair
Unknown class,China_Drone,China_Drone_000080.xml,Repair
Unknown class,China_Drone,China_Drone_000087.xml,Repair
Unknown class,China_Drone,China_Drone_000087.xml,Repair
Unknown class,China_Drone,China_Drone_000090.xml,Repair
Unknown class,China_Drone,China_Drone_000091.xml,Repair
Unknown class,China_Drone,China_Drone_000091.xml,Repair
Unknown class,China_Drone,China_Drone_000099.xml,Repair
Unknown class,China_Drone,China_Drone_000101.xml,Repair
Unknown class,China_Drone,China_Drone_000104.xml,Repair
Unknown class,China_Drone,China_Drone_000104.xml,Repair
Unknown class,China_Drone,China_Drone_000115.xml,Repair
Unknown class,China_Drone,China_Drone_000115.xml,Repair
Unknown class,China_Drone,China_Drone_000116.xml,Repair
Unknown class,China_Drone,China_Drone_000121.xml,Repair
Unknown class,China_Drone,China_Drone_000122.xml,Repair
Unknown class,China_Drone,China_Drone_000122.xml,Repair
Unknown class,China_Drone,China_Drone_000122.xml,Repair
Unknown class,China_Drone,China_Drone_000122.xml,Repair
Unknown class,China_Drone,China_Drone_000125.xml,Repair
Unknown class,China_Drone,China_Drone_000131.xml,Repair
Unknown class,China_Drone,China_Drone_000133.xml,Repair
Unknown class,China_Drone,China_Drone_000142.xml,Repair
Unknown class,China_Drone,China_Drone_000146.xml,Repair
Unknown class,China_Drone,China_Drone_000154.xml,Repair
Unknown class,China_Drone,China_Drone_000156.xml,Repair
Unknown class,China_Drone,China_Drone_000156.xml,Repair
Unknown class,China_Drone,China_Drone_000163.xml,Repair
Unknown class,China_Drone,China_Drone_000177.xml,Repair
Unknown class,China_Drone,China_Drone_000188.xml,Repair
Unknown class,China_Drone,China_Drone_000193.xml,Repair
Unknown class,China_Drone,China_Drone_000199.xml,Repair
Unknown class,China_Drone,China_Drone_000208.xml,Repair
Unknown class,China_Drone,China_Drone_000209.xml,Repair
Unknown class,China_Drone,China_Drone_000209.xml,Repair
Unknown class,China_Drone,China_Drone_000213.xml,Repair
Unknown class,China_Drone,China_Drone_000214.xml,Repair
Unknown class,China_Drone,China_Drone_000214.xml,Repair
Unknown class,China_Drone,China_Drone_000214.xml,Repair
Unknown class,China_Drone,China_Drone_000220.xml,Repair
Unknown class,China_Drone,China_Drone_000221.xml,Repair
Unknown class,China_Drone,China_Drone_000231.xml,Repair
Unknown class,China_Drone,China_Drone_000235.xml,Repair
Unknown class,China_Drone,China_Drone_000235.xml,Repair
Unknown class,China_Drone,China_Drone_000239.xml,Repair
Unknown class,China_Drone,China_Drone_000241.xml,Repair
Unknown class,China_Drone,China_Drone_000242.xml,Repair
Unknown class,China_Drone,China_Drone_000242.xml,Repair
Unknown class,China_Drone,China_Drone_000242.xml,Repair
Unknown class,China_Drone,China_Drone_000243.xml,Repair
Unknown class,China_Drone,China_Drone_000249.xml,Repair
Unknown class,China_Drone,China_Drone_000250.xml,Repair
Unknown class,China_Drone,China_Drone_000252.xml,Repair
Unknown class,China_Drone,China_Drone_000253.xml,Repair
Unknown class,China_Drone,China_Drone_000263.xml,Repair
Unknown class,China_Drone,China_Drone_000266.xml,Repair
Unknown class,China_Drone,China_Drone_000269.xml,Repair
Unknown class,China_Drone,China_Drone_000269.xml,Repair
Unknown class,China_Drone,China_Drone_000270.xml,Repair
Unknown class,China_Drone,China_Drone_000273.xml,Repair
Unknown class,China_Drone,China_Drone_000278.xml,Repair
Unknown class,China_Drone,China_Drone_000282.xml,Repair
Unknown class,China_Drone,China_Drone_000285.xml,Repair
Unknown class,China_Drone,China_Drone_000288.xml,Repair
Unknown class,China_Drone,China_Drone_000291.xml,Repair
Unknown class,China_Drone,China_Drone_000291.xml,Repair
Unknown class,China_Drone,China_Drone_000292.xml,Repair
Unknown class,China_Drone,China_Drone_000304.xml,Repair
Unknown class,China_Drone,China_Drone_000305.xml,Repair
Unknown class,China_Drone,China_Drone_000305.xml,Repair
Unknown class,China_Drone,China_Drone_000309.xml,Repair
Unknown class,China_Drone,China_Drone_000309.xml,Repair
Unknown class,China_Drone,China_Drone_000315.xml,Repair
Unknown class,China_Drone,China_Drone_000318.xml,Repair
Unknown class,China_Drone,China_Drone_000319.xml,Repair
Unknown class,China_Drone,China_Drone_000319.xml,Repair
Unknown class,China_Drone,China_Drone_000322.xml,Repair
Unknown class,China_Drone,China_Drone_000327.xml,Repair
