Source,Image,XML,Classes,Split
China_Drone,China_Drone_000876.jpg,China_Drone_000876.xml,D10,train
China_Drone,China_Drone_001943.jpg,China_Drone_001943.xml,D10,train
China_Drone,China_Drone_000089.jpg,China_Drone_000089.xml,D10,train
China_Drone,China_Drone_001886.jpg,China_Drone_001886.xml,D10,train
China_Drone,China_Drone_001778.jpg,China_Drone_001778.xml,D10,train
China_Drone,China_Drone_000363.jpg,China_Drone_000363.xml,D10,train
China_Drone,China_Drone_001799.jpg,China_Drone_001799.xml,D10,train
China_Drone,China_Drone_002139.jpg,China_Drone_002139.xml,D10,train
China_Drone,China_Drone_001918.jpg,China_Drone_001918.xml,D10,train
China_Drone,China_Drone_002377.jpg,China_Drone_002377.xml,D10,train
China_Drone,China_Drone_001930.jpg,China_Drone_001930.xml,D10,train
China_Drone,China_Drone_001473.jpg,China_Drone_001473.xml,D10,train
China_Drone,China_Drone_000245.jpg,China_Drone_000245.xml,D10,train
China_Drone,China_Drone_001933.jpg,China_Drone_001933.xml,D10,train
China_Drone,China_Drone_002036.jpg,China_Drone_002036.xml,D10,train
China_Drone,China_Drone_002241.jpg,China_Drone_002241.xml,D10,train
China_Drone,China_Drone_000054.jpg,China_Drone_000054.xml,D10,train
China_Drone,China_Drone_001166.jpg,China_Drone_001166.xml,D10,train
China_Drone,China_Drone_001242.jpg,China_Drone_001242.xml,D10,train
China_Drone,China_Drone_001826.jpg,China_Drone_001826.xml,D10,train
China_Drone,China_Drone_001090.jpg,China_Drone_001090.xml,D10,train
China_Drone,China_Drone_001452.jpg,China_Drone_001452.xml,D10,train
China_Drone,China_Drone_001810.jpg,China_Drone_001810.xml,D10,train
China_Drone,China_Drone_001254.jpg,China_Drone_001254.xml,D10,train
China_Drone,China_Drone_000660.jpg,China_Drone_000660.xml,D10,train
China_Drone,China_Drone_001693.jpg,China_Drone_001693.xml,D10,train
China_Drone,China_Drone_000008.jpg,China_Drone_000008.xml,D10,train
China_Drone,China_Drone_001086.jpg,China_Drone_001086.xml,D10,train
China_Drone,China_Drone_000265.jpg,China_Drone_000265.xml,D10,train
China_Drone,China_Drone_000456.jpg,China_Drone_000456.xml,D10,train
China_Drone,China_Drone_000491.jpg,China_Drone_000491.xml,D10,train
China_Drone,China_Drone_000874.jpg,China_Drone_000874.xml,D10,train
China_Drone,China_Drone_000066.jpg,China_Drone_000066.xml,D10,train
China_Drone,China_Drone_001269.jpg,China_Drone_001269.xml,D10,train
China_Drone,China_Drone_000031.jpg,China_Drone_000031.xml,D10,train
China_Drone,China_Drone_002288.jpg,China_Drone_002288.xml,D10,train
China_Drone,China_Drone_001753.jpg,China_Drone_001753.xml,D10,train
China_Drone,China_Drone_001240.jpg,China_Drone_001240.xml,D10,train
China_Drone,China_Drone_000422.jpg,China_Drone_000422.xml,D10,train
China_Drone,China_Drone_000483.jpg,China_Drone_000483.xml,D10,train
China_Drone,China_Drone_000743.jpg,China_Drone_000743.xml,D10,train
China_Drone,China_Drone_001445.jpg,China_Drone_001445.xml,D10,train
China_Drone,China_Drone_001007.jpg,China_Drone_001007.xml,D10,train
China_Drone,China_Drone_000212.jpg,China_Drone_000212.xml,D10,train
China_Drone,China_Drone_001009.jpg,China_Drone_001009.xml,D10,train
China_Drone,China_Drone_001881.jpg,China_Drone_001881.xml,D10,train
China_Drone,China_Drone_000175.jpg,China_Drone_000175.xml,D10,train
China_Drone,China_Drone_002038.jpg,China_Drone_002038.xml,D10,train
China_Drone,China_Drone_000123.jpg,China_Drone_000123.xml,D10,train
China_Drone,China_Drone_000969.jpg,China_Drone_000969.xml,D10,train
China_Drone,China_Drone_000599.jpg,China_Drone_000599.xml,D10,train
China_Drone,China_Drone_000246.jpg,China_Drone_000246.xml,D10,train
China_Drone,China_Drone_000753.jpg,China_Drone_000753.xml,D10,train
China_Drone,China_Drone_001900.jpg,China_Drone_001900.xml,D10,train
China_Drone,China_Drone_000259.jpg,China_Drone_000259.xml,D10,train
China_Drone,China_Drone_000769.jpg,China_Drone_000769.xml,D10,train
China_Drone,China_Drone_001860.jpg,China_Drone_001860.xml,D10,train
China_Drone,China_Drone_001184.jpg,China_Drone_001184.xml,D10,train
China_Drone,China_Drone_000380.jpg,China_Drone_000380.xml,D10,train
China_Drone,China_Drone_002345.jpg,China_Drone_002345.xml,D10,train
China_Drone,China_Drone_001994.jpg,China_Drone_001994.xml,D10,train
China_Drone,China_Drone_000420.jpg,China_Drone_000420.xml,D10,train
China_Drone,China_Drone_000302.jpg,China_Drone_000302.xml,D10,train
China_Drone,China_Drone_000704.jpg,China_Drone_000704.xml,D10,train
China_Drone,China_Drone_000317.jpg,China_Drone_000317.xml,D10,train
China_Drone,China_Drone_001822.jpg,China_Drone_001822.xml,D10,train
China_Drone,China_Drone_002398.jpg,China_Drone_002398.xml,D10,train
China_Drone,China_Drone_000750.jpg,China_Drone_000750.xml,D10,train
China_Drone,China_Drone_000618.jpg,China_Drone_000618.xml,D10,train
China_Drone,China_Drone_000522.jpg,China_Drone_000522.xml,D10,train
China_Drone,China_Drone_001894.jpg,China_Drone_001894.xml,D10,train
China_Drone,China_Drone_000521.jpg,China_Drone_000521.xml,D10,train
China_Drone,China_Drone_000069.jpg,China_Drone_000069.xml,D10,train
China_Drone,China_Drone_001343.jpg,China_Drone_001343.xml,D10,train
China_Drone,China_Drone_000670.jpg,China_Drone_000670.xml,D10,train
China_Drone,China_Drone_000703.jpg,China_Drone_000703.xml,D10,train
China_Drone,China_Drone_001855.jpg,China_Drone_001855.xml,D10,train
China_Drone,China_Drone_000624.jpg,China_Drone_000624.xml,D10,train
China_Drone,China_Drone_001975.jpg,China_Drone_001975.xml,D10,train
China_Drone,China_Drone_000475.jpg,China_Drone_000475.xml,D10,train
China_Drone,China_Drone_001558.jpg,China_Drone_001558.xml,D10,train
China_Drone,China_Drone_000060.jpg,China_Drone_000060.xml,D10,train
China_Drone,China_Drone_002002.jpg,China_Drone_002002.xml,D10,train
China_Drone,China_Drone_001517.jpg,China_Drone_001517.xml,D10,train
China_Drone,China_Drone_002099.jpg,China_Drone_002099.xml,D10,train
China_Drone,China_Drone_002182.jpg,China_Drone_002182.xml,D10,train
China_Drone,China_Drone_000937.jpg,China_Drone_000937.xml,D10,train
China_Drone,China_Drone_000756.jpg,China_Drone_000756.xml,D10,train
China_Drone,China_Drone_002077.jpg,China_Drone_002077.xml,D10,train
China_Drone,China_Drone_001970.jpg,China_Drone_001970.xml,D10,train
China_Drone,China_Drone_000094.jpg,China_Drone_000094.xml,D10,train
China_Drone,China_Drone_001762.jpg,China_Drone_001762.xml,D10,train
China_Drone,China_Drone_001987.jpg,China_Drone_001987.xml,D10,train
China_Drone,China_Drone_000458.jpg,China_Drone_000458.xml,D10,train
China_Drone,China_Drone_001583.jpg,China_Drone_001583.xml,D10,train
China_Drone,China_Drone_000617.jpg,China_Drone_000617.xml,D10,train
China_Drone,China_Drone_000790.jpg,China_Drone_000790.xml,D10,train
China_Drone,China_Drone_001867.jpg,China_Drone_001867.xml,D10,train
China_Drone,China_Drone_002170.jpg,China_Drone_002170.xml,D10,train
China_Drone,China_Drone_000017.jpg,China_Drone_000017.xml,D10,train
China_Drone,China_Drone_001685.jpg,China_Drone_001685.xml,D10,train
China_Drone,China_Drone_000987.jpg,China_Drone_000987.xml,D10,train
China_Drone,China_Drone_001302.jpg,China_Drone_001302.xml,D10,train
China_Drone,China_Drone_000102.jpg,China_Drone_000102.xml,D10,train
China_Drone,China_Drone_001570.jpg,China_Drone_001570.xml,D10,train
China_Drone,China_Drone_001357.jpg,China_Drone_001357.xml,D10,train
China_Drone,China_Drone_002174.jpg,China_Drone_002174.xml,D10,train
China_Drone,China_Drone_000338.jpg,China_Drone_000338.xml,D10,train
China_Drone,China_Drone_001898.jpg,China_Drone_001898.xml,D10,train
China_Drone,China_Drone_000561.jpg,China_Drone_000561.xml,D10,train
China_Drone,China_Drone_000144.jpg,China_Drone_000144.xml,D10,train
China_Drone,China_Drone_001151.jpg,China_Drone_001151.xml,D10,train
China_Drone,China_Drone_002224.jpg,China_Drone_002224.xml,D10,train
China_Drone,China_Drone_002126.jpg,China_Drone_002126.xml,D10,train
China_Drone,China_Drone_001620.jpg,China_Drone_001620.xml,D10,train
China_Drone,China_Drone_001800.jpg,China_Drone_001800.xml,D10,train
China_Drone,China_Drone_001057.jpg,China_Drone_001057.xml,D10,train
China_Drone,China_Drone_001116.jpg,China_Drone_001116.xml,D10,train
China_Drone,China_Drone_000975.jpg,China_Drone_000975.xml,D10,train
China_Drone,China_Drone_002291.jpg,China_Drone_002291.xml,D10,train
China_Drone,China_Drone_001200.jpg,China_Drone_001200.xml,D10,train
China_Drone,China_Drone_001717.jpg,China_Drone_001717.xml,D10,train
China_Drone,China_Drone_000365.jpg,China_Drone_000365.xml,D10,train
China_Drone,China_Drone_001734.jpg,China_Drone_001734.xml,D10,train
China_Drone,China_Drone_002009.jpg,China_Drone_002009.xml,D10,train
China_Drone,China_Drone_001874.jpg,China_Drone_001874.xml,D10,train
China_Drone,China_Drone_000301.jpg,China_Drone_000301.xml,D10,train
China_Drone,China_Drone_001297.jpg,China_Drone_001297.xml,D10,train
