epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
20,634.207,1.719,1.80073,1.51226,0.59863,0.4995,0.53815,0.27334,1.68689,1.6897,1.52349,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,1245.4,1.71222,1.78828,1.50813,0.5944,0.51944,0.54771,0.2783,1.68307,1.66544,1.51965,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,1857.35,1.70959,1.77968,1.5085,0.59013,0.52218,0.55559,0.28406,1.67864,1.65619,1.51516,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,2470.06,1.70167,1.76181,1.49998,0.61201,0.52451,0.55594,0.28502,1.66749,1.64332,1.50783,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,3083.54,1.681,1.73702,1.48785,0.60885,0.52986,0.56131,0.28824,1.66353,1.62201,1.50324,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,3695.98,1.67818,1.71881,1.48056,0.62138,0.52654,0.56622,0.29171,1.66112,1.61768,1.49752,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,4308.51,1.66787,1.69916,1.46923,0.62385,0.52681,0.56965,0.29327,1.65476,1.60808,1.48842,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,4920.96,1.66074,1.67954,1.46583,0.61015,0.53734,0.57484,0.29746,1.65143,1.59697,1.48612,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,5532.57,1.64962,1.66913,1.4662,0.61181,0.54187,0.57851,0.30048,1.65391,1.5833,1.48805,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,6145.92,1.64166,1.6472,1.45826,0.61554,0.5444,0.5792,0.30104,1.65424,1.57849,1.48849,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,6759.79,1.63582,1.62264,1.44723,0.62993,0.54118,0.57904,0.30172,1.65196,1.57244,1.48607,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,7372.53,1.61913,1.60812,1.44098,0.62753,0.54161,0.58109,0.30361,1.65059,1.56406,1.48546,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,7985.4,1.61665,1.58977,1.43684,0.62901,0.54854,0.58227,0.30429,1.65248,1.55807,1.48701,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,8598.13,1.60507,1.58095,1.42828,0.6323,0.54606,0.5837,0.3049,1.65342,1.55211,1.48771,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,9209.99,1.59744,1.55821,1.42363,0.63789,0.54509,0.58584,0.30642,1.65408,1.54729,1.48677,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,9821.64,1.58833,1.53414,1.41004,0.63764,0.54825,0.58847,0.30727,1.65405,1.5441,1.48609,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,10433,1.58071,1.52024,1.4105,0.64276,0.54598,0.58805,0.30794,1.65236,1.5411,1.48479,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,11044.2,1.56825,1.49666,1.39822,0.64113,0.54801,0.58897,0.3092,1.65107,1.53631,1.48387,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,11656,1.56236,1.48632,1.39418,0.64864,0.54437,0.59054,0.30968,1.65063,1.53354,1.48302,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,12269.7,1.56863,1.48307,1.39938,0.64817,0.54907,0.59172,0.31089,1.65013,1.53148,1.48194,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,12882.1,1.55645,1.46927,1.3881,0.65389,0.54732,0.5931,0.31158,1.65025,1.52992,1.48132,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,13496.4,1.54516,1.35903,1.42166,0.66054,0.54156,0.59383,0.31228,1.64956,1.52721,1.47986,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,14105.3,1.52336,1.32539,1.40561,0.66095,0.54232,0.59441,0.31283,1.6498,1.5251,1.47894,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,14714.7,1.50731,1.296,1.39905,0.66334,0.54248,0.59564,0.31385,1.64974,1.52267,1.47864,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,15323.9,1.4922,1.27426,1.38373,0.66031,0.5467,0.59623,0.31472,1.65049,1.52085,1.47822,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,15933.3,1.47875,1.24826,1.37659,0.6599,0.55047,0.59771,0.31531,1.65145,1.51911,1.47822,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,16543.1,1.46246,1.21622,1.36882,0.65724,0.54997,0.59823,0.31598,1.65316,1.51698,1.47843,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,17153,1.44495,1.19714,1.35561,0.66226,0.54715,0.59922,0.31658,1.65407,1.51581,1.479,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,17762.1,1.43783,1.17089,1.35005,0.66607,0.54663,0.60093,0.31705,1.65538,1.51423,1.47987,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,18371.3,1.41809,1.14201,1.33796,0.66519,0.54842,0.60258,0.31709,1.65697,1.5136,1.48084,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,18980.1,1.40593,1.12261,1.32857,0.66961,0.54902,0.60326,0.31727,1.65806,1.51329,1.4811,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
