image,true_class,predicted_class,confidence,iou,error_type
China_Drone_000004,D20,D20,0.619472,0.6633,TP
China_Drone_000004,D10,None,,,FN
China_Drone_000007,D00,D00,0.486915,0.8042,TP
China_Drone_000007,None,D00,0.582749,,FP
China_Drone_000009,D00,D00,0.586711,0.9202,TP
China_Drone_000009,D00,D00,0.455,0.8338,TP
China_Drone_000009,D00,D00,0.299156,0.8247,TP
China_Drone_000009,D00,D00,0.606675,0.6362,TP
China_Drone_000009,None,D00,0.375881,,FP
China_Drone_000014,D10,D10,0.504038,0.7563,TP
China_Drone_000036,D10,D10,0.660116,0.8817,TP
China_Drone_000036,D00,None,,,FN
China_Drone_000039,D10,D10,0.45357,0.7688,TP
China_Drone_000039,D00,D00,0.43036,0.7116,TP
China_Drone_000039,None,D00,0.641332,,FP
China_Drone_000048,D40,D40,0.534365,0.5072,TP
China_Drone_000048,None,D40,0.636782,,FP
China_Drone_000052,D10,None,,,FN
China_Drone_000052,None,D00,0.401671,,FP
China_Drone_000058,D00,D00,0.292994,0.8563,TP
China_Drone_000058,D00,D00,0.42559,0.7085,TP
China_Drone_000058,D00,None,,,FN
China_Drone_000058,None,D00,0.482838,,FP
China_Drone_000082,D10,D10,0.624503,0.7176,TP
China_Drone_000082,D10,D10,0.341901,0.6314,TP
China_Drone_000082,D00,None,,,FN
China_Drone_000082,D10,None,,,FN
China_Drone_000082,None,D10,0.477413,,FP
China_Drone_000082,None,D00,0.380113,,FP
China_Drone_000120,D00,D00,0.609404,0.8354,TP
China_Drone_000121,None,D00,0.263507,,FP
China_Drone_000134,D00,D00,0.39695,0.7949,TP
China_Drone_000134,D10,D10,0.501009,0.6743,TP
China_Drone_000162,D20,None,,,FN
China_Drone_000164,D10,D10,0.470161,0.7325,TP
China_Drone_000184,D10,D10,0.565134,0.8421,TP
China_Drone_000184,D00,D00,0.568022,0.7873,TP
China_Drone_000184,D10,D10,0.449652,0.5561,TP
China_Drone_000184,D10,None,,,FN
China_Drone_000184,None,D10,0.522145,,FP
China_Drone_000184,None,D10,0.493487,,FP
China_Drone_000184,None,D00,0.275123,,FP
China_Drone_000187,D10,D10,0.339888,0.8229,TP
China_Drone_000211,D10,D10,0.572413,0.8738,TP
China_Drone_000211,D00,D00,0.400671,0.7861,TP
China_Drone_000211,D10,D10,0.597564,0.7384,TP
